Question,Reponse
"Simplon.co, les écoles d’informatique et les informaticiens","Les formations Simplon.co sont complémentaires à l’offre de formation initiale existante et n’ont aucunement vocation à les critiquer ou à s’y substituer, bien au contraire. Des collaborations existent entre Simplon.co et 42, l'EPSI, les INSA et bien d’autres structures. De la même façon, Simplon.co a des interactions multiples avec certaines universités, certains IUT, avec l’INRIA au travers des démarches liées au programme des Investissements d’Avenir désireux de promouvoir la “culture du code” (CAPPRIO, Class’Code, etc.). En revanche, nous pensons véritablement que la programmation informatique n’est PAS QU’UNE science, c’est aussi un artisanat, une passion, un objet d’autodidaxie, et qu’elle n’est pas réservée aux informaticiens diplômés mais bien à tous les passionnés. Dans « Lire, écrire, compter, coder », Frédéric Bardeau, Président et cofondateur de Simplon.co, et Nicolas Danet reviennent sur ces subtilités et les différentes approches pédagogiques qui coexistent en France et dans le monde par rapport à l’apprentissage de la programmation informatique."
Simplon.co est un modèle anti-Éducation Nationale,"Si Simplon est statutairement « hors de l’Éducation Nationale » car relevant de la formation professionnelle continue, son modèle de formation accélérée est complémentaire à l’offre de formation initiale, les interactions avec le Ministère de l’Éducation Nationale de l’Enseignement Supérieur et de la Recherche, les Rectorats, les DANE ainsi les collaborations avec des écoles (enfants), les collèges, les lycées et établissements d’enseignement supérieur sont nombreuses et nous souhaitons qu’elles s’intensifient. C’est le cas pour les opérations de type Europe Code Week et Hour of Code, mais également pour les actions liées au programmes des Investissements d’Avenir “Culture du code”. Nos principes pédagogiques empruntent à des méthodes qui sont parfaitement connues et utilisées dans bien des écoles délivrant des diplômes Éducation Nationale ou apparentés : pédagogie par projets, formation à distance en ligne et classe inversée, évaluation par les pairs,… Simplon.co est également très attaché au présentiel et au rôle de facilitateur d’un pédagogue qui est physiquement là avec les apprenants : ce n’est peut être pas « un vrai prof » mais il y a quelqu’un et il est là “en vrai” et nous savons les limites du distanciel, surtout sur les publics que nous visons et qui sont éloignés de l’emploi ou du numérique. Enfin, et c’est le plus important, Simplon.co a commencé ses formations en octobre 2013 et elles n’étaient à l’époque ni certifiantes ni diplômantes mais nous avons eu depuis la possibilité et la chance de délivrer des titres et de déposer des titres et des compétences. Cela permet à nos apprenants d’objectiver leurs compétences et à Simplon d’être éligible à des financements qui nous permettent de maintenir nos formations gratuites, etc. Enfin, nous le répétons, l’un des modèles de Simplon.co est clairement l’école de la République dans ce qu’elle peut représenter et proposer comme espace d’égalité, de liberté d’expression ainsi que de diversité et de cohésion sociale."
Le statut des apprenants et la gratuité ou la rémunération des formations Simplon,"La gratuité intégrale des formations Simplon.co est un principe cardinal qui n’a souffert aucune entorse depuis le début et elle est inscrite de manière définitive dans nos statuts : on aimerait que ce soit le cas de toutes les formations qui se réclament gratuites mais qui ne le sont pas. La première promotion de Montreuil a été effectivement aidée financièrement – à 3/4 du SMIC en moyenne, entièrement sur fonds propres et avec l’aide de subventions et de mécénat. Malgré le facteur déterminant de réussite que peut constituer une aide financière dans le cadre d’une formation intensive, pour des apprenants en situation de précarité notamment, cela a été très difficile à assumer économiquement par la structure, et a donc été stoppé à partir de la deuxième promotion à Montreuil. Dans d’autres configurations, les apprenants ont également pu être rémunérés via des embauches, leurs droits au chômage ou au RSA maintenus, ou encore indemnisés au titre d’un statut de « stagiaire de la formation professionnelle ». La Fondation Simplon, abritée par FACE reconnue d’utilité publique, octroie également à titre exceptionnel, en cas d’urgence, des bourses permettant d’éviter le décrochage des apprenants. Mais le plus important pour nous car ça nous est spécifique et unique : AUCUN apprenant ne s’est jamais vu refuser l’intégration à une session de formation Simplon parce qu’il ne permettait pas de disposer d’une aide individuelle à la formation de Pôle Emploi ou de tout autre dispositif. Nous ne filtrons pas au regard des financements qui nous sont alloués par la prise en charge de tel ou tel apprenant. La gratuité intégrale est pour nous gage d’inclusion et d’égalité des chances."
Simplon.co forme des génies de l’informatique en quelques mois,"On aimerait que ce soit vrai pour tous les Simploniens mais ce n’est pas le cas. Centrées sur les débutants demandeurs d’emplois, les formations Simplon.co utilisent la tension de recrutement sur les métiers numériques pour créer des emplois, redonner du pouvoir d’agir à des profils talentueux mais qui ont manqué d’opportunités. C’est notre objectif principal. Il arrive que des débutants se révèlent être de très bons potentiels, pour devenir de bons développeurs, parfois géniaux même, ou bien qu’ils reprennent des études diplômantes après avoir “décroché” mais cela dépend des personnes elles-mêmes. Il est clair qu’un débutant au bout de 6 ou 7 mois de formation ne peut pas obtenir le niveau d’un développeur confirmé et expérimenté ou d’un élève qui sort d’une école d’ingénieur ou de 42. Certaines formations et leurs systèmes de sélection à l’entrée ou au début de l’apprentissage (la “piscine” par exemple) visent à obtenir « les meilleurs profils » et à créer des développeurs d’élite, ce n’est pas le cas de Simplon.co. Le métier de développeur est un vrai métier, rigoureux et créatif, qui nécessite du travail et des aptitudes donc il ne suffit pas de jouer quelques semaines avec des lignes de code pour le devenir. En revanche, oui, nous confirmons que la plupart des besoins en développeurs peuvent être pourvus par des profils différents de ceux qui sont actuellement privilégiés pour ces postes et donc très recherchés : les titulaires de diplômes d’écoles d’ingénieur ou d’informatique, souvent BAC+5. Il existe également des informaticiens, des développeurs expérimentés et diplômés au chômage… Comme nous le revendiquons parfois, que ce soit sur du développement back-end, du développement front-end, ou autres compétences en programmation, nous formons des “débutants de classe mondiale”, des juniors en capacité de produire et sensibilisés à un ensemble de bonnes pratiques (agilité, développement piloté par des tests, etc.), mais qui ont encore besoin d’être encadrés par un développeur plus confirmé pendant quelques temps."
Simplon.co est une organisation militante et partisane,"Soutenue au travers de subventions par les pouvoirs publics et les collectivités (l’Élysée via La France s’engage et Grande École du Numérique, Secrétariat d’État au numérique via le label French Tech ainsi que plusieurs régions et agglomérations dans les essaimages), Simplon.co est pour autant une organisation privée, non-partisane et n’est affiliée à aucun mouvement politique. Les prises de position de Simplon.co concernent le code pour tous, la parité femmes-hommes dans le numérique et l’Économie Sociale et Solidaire, la bataille pour l’emploi des jeunes, la revitalisation des territoires dont les quartiers populaires, les zones rurales et les Outre-mer, la lutte contre toutes les formes d’extrémisme politique ou religieux : c’est clairement militant. Mais rien là dedans ne relève d’une approche partisane ou politicienne. Simplon.co est une entreprise sociale avec des convictions, pas un parti politique, ni un syndicat, ni une ONG et n’est affilié à aucune organisation autre que professionnelle. Mais c’est vrai, nous aimons lancer des débats, prendre la parole, faire du prosélytisme sur les thématiques qui nous sont chères. C’est notre façon de faire avancer les causes qui nous tiennent à coeur… Enfin, on peut dire que l’entrepreneuriat social est une forme déterminée d’engagement politique au sens où il tente d’intervenir sur la société. Dans ce sens là alors oui, Simplon fait de la politique ;-) et a rassemblé ses prises de positions et actions dans un livret de plaidoyer que vous pouvez lire ici et qui aborde 4 principaux axes : les publics, les territoires, le numérique responsable et la digitalisation de l’ESS et des TPE/PME."
Simplon.co s’essaime comme une franchise,"L’essaimage de Simplon.co est toujours déclenché sur la base d’une manifestation d’intérêt de porteurs de projets locaux pouvant être des entrepreneurs, des organismes de formation, des collectivités, des structures parapubliques, ou en réponse à un appel d’offre régional (cf. Occitanie). Le processus de qualification de la demande, de sélection des projets d’essaimages et leur conduite suit des règles claires et contraignantes destinées à assurer la pertinence, le caractère multi-parties prenantes et la pérennité de la démarche. Ainsi, les porteurs des projets dont la configuration a été jugée viable à réception du dossier sont systématiquement invités à recenser les besoins des différents acteurs sur leur territoire et évoquer l’intérêt d’un projet d’essaimage Simplon.co : les acteurs numériques, économiques, de l’emploi et de la formation et les collectivités référentes sur la question de la formation professionnelle (villes, agglomérations, régions). Dans ce contexte, si l’accompagnement par Simplon.co d’un porteur de projet pour essaimer fait l’objet d’une prestation forfaitaire facturée qui comprend une assistance de bout en bout : montage juridique et financier, aide au financement, recrutement de l’équipe locale, recrutement de la promotion, assistance pédagogique et en gestion de projet, évaluation et certification, etc. Ce “forfait” pourrait donc s’apparenter à une « franchise » mais la multiplicité des formats d’essaimages de Simplon.co l’en éloigne tant la variabilité des configurations (publics, durée, format, référentiels, etc.) est forte. Il n’y a pas deux « Simplons » qui se ressemblent, tous nos projets d’essaimage ne s’appellent pas forcément Simplon ce qui est intrinsèquement le contraire d’une franchise et même d’une licence de marque ou d’enseigne. En 2018, Simplon a dépassé le modèle de “franchise sociale” en libérant gratuitement en Creative Commons une partie de sa méthode via Simplon Open Commons, ce afin de démultiplier encore plus son impact."
"Simplon.co mélange lucrativité, utilité sociale et intérêt général","Oui, clairement, c’est assumé et revendiqué, le tout au bénéfice de l’impact social et de la performance économique au service de l’intérêt général. Le modèle de Simplon.co est hybride, ce qui est assez typique dans l'Économie Sociale et Solidaire : c’est celui des entreprises commerciales agréées solidaires d’utilité sociale (ESUS). Elles utilisent effectivement le levier économique et une lucrativité encadrée pour viser des objectifs d’utilité sociale et d’intérêt général. Nos engagements statutaires liés à l’agrément ESUS et notamment la lucrativité limitée et la non cotation de l’entreprise, ainsi que l’impossibilité de versement de dividendes ou de cotation sur les marchés financiers assurent la cohérence et l’éthique de l’ensemble de la démarche. Concernant l’opacité, les règles classiques des entreprises s’appliquent et Simplon.co rend compte de son activité à ses actionnaires, à l’extérieur via son Conseil des Parties Prenantes et en interne de façon extrêmement détaillée et transparente. Un rapport spécifique d’impact est disponible sur le site Internet Simplon.co et nous aimerions que plus de structures satisfassent à des règles simples de transparence sur leur impact. En résumé, on pourrait donc dire que Simplon.co est un social business, dont les bénéfices sont, comme prévu dans son agrément ESUS, réinvestis dans le projet Simplon, et donc dans sa mission sociale et solidaire. Simplon n’a jamais versé de dividendes à ses actionnaires. Seuls les investisseurs solidaires ayant fait jouer leur liquidité en 2017 ont réalisé des plus-values. Les seules personnes physiques à s’être enrichies personnellement au travers de cessions de parts sociales du capital de Simplon sont les cofondateurs ayant quitté Simplon."
Simplon.co n’est pas certifiant ni diplômant,"C’était effectivement le cas jusqu’en 2015 où Simplon a commencé à utiliser les titres professionnels du Ministère du Travail et où le Fafiec – à l’époque OPCA de la branche numérique – a sélectionné Simplon.co comme un des organismes de formations autorisé à dispenser la formation délivrant le Certificat de Qualification Professionnelle (CQP) « Développeur nouvelles technologies » (Java, JEE), titre inscrit au RNCP comme un titre de niveau II. Depuis, Simplon utilise d’autres titres professionnels déposés, a déposé des compétences à l’inventaire (maintenant répertoire spécifique) et est en cours de dépôts de titres métiers (IA notamment)."
Simplon.co ne créé pas de vrais emplois,"Sur les quasiment 6000 Simploniens formés depuis le début de l’aventure Simplon.co, plus de 75% ont trouvé un travail ou une activité dans les 6 mois. Et nous considérons que les sorties sont positives quand il s’agit d’embauches en CDD ou CDI, en alternance, en emplois aidés, en contrat de professionnalisation mais également quand les Simploniens font le choix (et ne subissent pas cette décision) de se déclarer en auto-entrepreneur, en micro société/en freelance ou encore de créer des entreprises, principalement à l’occasion de leur premier besoin en facturation de prestation. De plus, Simplon a créé directement plus de 250 emplois au travers de son équipe, et indirectement plus de 500 chez ses partenaires membres du réseau des fabriques."
Simplon ne forme que des demandeurs d’emplois… Simplon forme des salariés aussi ?,"Résolument tourné vers un impact social maximal, Simplon a longtemps privilégié les publics demandeurs d’emploi et s’est concentré sur les décrocheurs, chômeurs de longue durée et seniors, les publics réfugiés également, ce dans les territoires défavorisés : quartiers populaires, milieux ruraux et Outre-mer. Depuis 2015, au travers de pilotes réalisés auprès de salariés de La Poste, de Pôle Emploi ou d’autres entreprises, Simplon a entrepris d’investiguer l’impact social spécifique qui réside dans le fait d’empêcher la perte d’emploi ou de maintenir l’employabilité de salariés “décrochés”, “réfractaires” ou “fortement impactés” par la transformation numérique et donc placé à court ou moyen terme dans une logique anticipée ou forcée de transition ou de reconversion professionnelle. À l’heure où 50% des emplois qualifiés et non qualifiés seraient potentiellement menacés par le numérique (algorithme, robotisation, automatisation, changement d’organisation du travail, etc.), c’est un sujet de préoccupation grandissant pour Simplon et ses partenaires du service publics de l’emploi, des branches professionnelles et des entreprises, et donc une activité appelée à se déployer plus largement, en résonance avec la formation professionnelle des demandeurs d’emploi et la revitalisation des territoires. Cette activité - appelée Simplon Corp - utilise les mêmes méthodes et référentiel, et vise autant à un impact social - par la prévention du chômage - que le volet demandeurs d’emploi."
Simplon se disperse et “part dans tous les sens”,"Au coeur de l’ADN de Simplon réside l’idée centrale selon laquelle le numérique est un formidable levier d’inclusion, d’insertion et d’emploi, mais également un catalyseur de mixité, de diversité et d’innovation sociales. On peut donc considérer que Simplon n’est pas restreint à des “activités” (formation, production, incubation, éducation populaire, ou e-inclusion…) ou à des publics (décrocheurs, seniors, femmes, réfugiés,…) ou à des territoires (quartiers populaires, ruralité, Outre-mer, international) mais bien à une mission qui n’a pas de limite. Pour autant, de par son modèle économique et son hyper-croissance, Simplon est résolument dans une démarche continue et permanente de structuration et de maintien de son niveau de qualité et d’excellence opérationnelle. C’est donc de manière continue que Simplon procède à des priorisations et arbitrages entre les activités et les projets et constitue donc une entité cohérente et homogène visant un impact social maximal et durable."
C'est quoi Simplon Prod ?,"Simplon.co développe désormais son activité de production numérique avec la création d’une agence web solidaire – Simplon Prod – pour accompagner les associations, les collectivités et les entreprises dans leur stratégie numérique avec des prestations de qualité, compétitive et responsables ! À Montreuil, à Lyon, à Toulouse, à La Réunion, dans le Nord et bientôt sur d’autres territoires (PACA, Sénégal, etc.), Simplon Prod encadre d’anciens apprenants issus des formations Simplon par des chefs de projets et des développeurs confirmés. Simplon Prod travaille sur la conception de sites web et d’applications mobiles, incontournables pour assurer une présence numérique adaptée, et à des services numériques innovants (prototypes, etc.). Pour en savoir plus http://prod.simplon.co"
